actor,model_seed,rate,n,eval_seed,task_success,acquired,lifted_clear,reoriented,preinsert_reached,inserted,released,settled,failure_reasons,slip_t_median_m,slip_t_p90_m,slip_r_median_deg,slip_r_p90_deg,arm_util_median,arm_util_max,epsilon_lift_median
expert,,1.0,100,,1.0,1.0,1.0,1.0,0.78,1.0,1.0,1.0,"{""none"": 100}",0.008192902896553278,0.008687484543770552,8.411733132707543,9.43507279916178,0.12161079421639442,0.15177686512470245,0.0008004069257717442
expert,,1.5,100,,0.99,1.0,1.0,1.0,1.0,0.99,0.99,0.99,"{""none"": 99, ""insertion_jam"": 1}",0.00823060143738985,0.008696671947836876,8.705146106620244,9.513648234524618,0.08179387077689171,0.21993456780910492,0.0007400738923426971
expert,,2.0,100,,0.84,1.0,1.0,1.0,1.0,0.84,0.84,0.84,"{""none"": 84, ""insertion_jam"": 16}",0.00806668121367693,0.021819896064698696,9.990337979625115,85.52106429208837,0.10836591199040413,0.11690370738506317,0.0007418735695633627
act_seed1,0,1.0,100,13345,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0,"{""none"": 100}",0.0068013842683285475,0.00823193034157157,7.7798544033430925,9.352093513954214,0.07071640342473984,0.20013056695461273,0.0018730886914259375
act_seed1,0,1.5,100,14345,0.91,1.0,1.0,1.0,0.95,1.0,1.0,1.0,"{""none"": 91, ""insertion_misalignment"": 9}",0.007680774666368961,0.008445660304278136,8.069856124652194,8.992686227752474,0.08047481253743172,0.2387532889842987,0.0007634728074302219
act_seed1,0,2.0,100,15345,0.53,1.0,1.0,0.95,0.94,0.89,0.89,0.88,"{""none"": 53, ""insertion_misalignment"": 35, ""insertion_jam"": 10, ""excessive_inhand_slip"": 1, ""timeout"": 1}",0.00809886772185564,0.019756298698484925,8.800516038001131,77.4084927620085,0.10661040991544724,0.25428032875061035,0.0006644754463122028
act_seed2,1,1.0,100,13345,0.7,1.0,1.0,0.87,0.72,0.97,0.97,0.97,"{""none"": 70, ""insertion_misalignment"": 27, ""transfer_failure"": 3}",0.007033750880509615,0.008869319688528776,8.310449538165894,14.95532534533508,0.08707744255661964,0.18103893101215363,0.0007267674373251862
act_seed2,1,1.5,100,14345,0.58,0.98,0.98,0.82,0.66,0.94,0.94,0.94,"{""none"": 58, ""insertion_misalignment"": 36, ""dropped_during_reorientation"": 4, ""acquisition_failure"": 2}",0.007414701394736767,0.011279307771474123,9.200971309699447,13.010271372558853,0.07815049216151237,0.2860569655895233,0.0006584198227156599
act_seed2,1,2.0,100,15345,0.36,1.0,1.0,0.8,0.72,0.88,0.88,0.88,"{""insertion_misalignment"": 52, ""none"": 36, ""insertion_jam"": 11, ""dropped_during_reorientation"": 1}",0.008791107684373856,0.01850883662700653,10.50005493370248,77.98845300368016,0.1058213971555233,0.25642111897468567,0.0005906615852458337
act_seed3,2,1.0,100,13345,0.62,1.0,1.0,0.91,0.87,0.99,0.99,0.99,"{""none"": 62, ""insertion_misalignment"": 37, ""insertion_jam"": 1}",0.007534985663369298,0.008936850819736719,12.148573170077478,18.723877609511927,0.09316244348883629,0.19368454813957214,0.0007691161328108563
act_seed3,2,1.5,100,14345,0.44,1.0,1.0,0.71,0.71,0.82,0.82,0.82,"{""none"": 44, ""insertion_misalignment"": 38, ""insertion_jam"": 17, ""excessive_inhand_slip"": 1}",0.008215711917728186,0.02200337592512369,12.751311324234893,81.87230756953802,0.08063682168722153,0.24832478165626526,0.000669850240789601
act_seed3,2,2.0,100,15345,0.14,1.0,1.0,0.6,0.61,0.64,0.64,0.58,"{""insertion_misalignment"": 44, ""insertion_jam"": 29, ""none"": 14, ""timeout"": 6, ""transfer_failure"": 5, ""excessive_inhand_slip"": 2}",0.012594390194863081,0.02282409798353911,79.10237762711488,98.01301856325381,0.10386166721582413,0.26099660992622375,0.0005726907460818003
