policy,rate,episodes,acquired,handoff_episodes,retained_k,retained_frac,retained_wilson_lo,retained_wilson_hi,endpoint_insert_start,endpoint_receptacle_contact,endpoint_not_reached,dp_med_mm,dp_p90_mm,dR_med_deg,dR_p90_deg,dp_maxseg_med_mm,dp_maxseg_p90_mm,contacts_handoff_med,contacts_endpoint_med,eps_handoff_med,eps_handoff_pos_frac,anchor_minus_measured_med_mm,kin_residual_max_mm,model_err_max_mm,secondary_success_given_handoff,secondary_success_all,failure_reasons,draws_identical_to_expert
expert,1.0,100,100,100,100,1.0,0.9630051925239981,0.9999999999999999,77,23,0,3.3888,3.9559,2.1752,4.3425,3.5193,4.0055,5.0,5.0,0.0025,1.0,25.5584,0.1461,0.004,1.0,1.0,"{""none"": 100}",True
expert,1.5,100,100,100,100,1.0,0.9630051925239981,0.9999999999999999,79,21,0,4.8249,5.5764,3.4858,5.2576,4.875,5.5866,5.0,5.0,0.001,1.0,26.6745,0.1458,0.0039,0.95,0.95,"{""insertion_misalignment"": 5, ""none"": 95}",True
expert,2.0,100,100,100,100,1.0,0.9630051925239981,0.9999999999999999,72,28,0,5.4754,6.2105,4.701,5.9558,5.5649,6.2368,5.0,5.0,0.0008,1.0,26.8838,0.1483,0.0035,0.95,0.95,"{""none"": 95, ""insertion_misalignment"": 5}",True
act_seed1,1.0,100,100,100,100,1.0,0.9630051925239981,0.9999999999999999,96,4,0,3.276,4.0402,3.4266,4.4313,3.4104,4.053,5.0,5.0,0.002,1.0,22.0121,0.1549,0.0038,0.87,0.87,"{""none"": 87, ""insertion_misalignment"": 4, ""insertion_jam"": 3, ""timeout"": 4, ""excessive_inhand_slip"": 1, ""transfer_failure"": 1}",True
act_seed1,1.5,100,100,100,100,1.0,0.9630051925239981,0.9999999999999999,99,1,0,4.7951,5.4903,4.5331,5.495,4.7982,5.4954,5.0,5.0,0.0019,1.0,23.8591,0.1517,0.0034,0.93,0.93,"{""none"": 93, ""insertion_jam"": 6, ""insertion_misalignment"": 1}",True
act_seed1,2.0,100,100,100,100,1.0,0.9630051925239981,0.9999999999999999,91,9,0,5.6471,6.3069,4.8238,6.4854,5.6501,6.3169,5.0,5.0,0.0008,0.95,24.5024,0.1758,0.0036,0.64,0.64,"{""none"": 64, ""insertion_jam"": 20, ""insertion_misalignment"": 9, ""excessive_inhand_slip"": 2, ""transfer_failure"": 5}",True
act_seed2,1.0,100,100,100,98,0.98,0.9299868370580063,0.9944981477650318,72,28,0,2.9796,4.5713,3.2721,12.2579,3.0402,4.5723,4.0,4.0,0.0009,0.8,24.956,0.8089,0.0037,0.67,0.67,"{""none"": 67, ""timeout"": 1, ""insertion_jam"": 11, ""insertion_misalignment"": 5, ""transfer_failure"": 13, ""excessive_inhand_slip"": 1, ""dropped_during_reorientation"": 2}",True
act_seed2,1.5,100,98,98,94,0.9591836734693877,0.899710305133373,0.984015009472839,90,8,0,4.8681,6.2819,4.8663,10.3739,4.8779,6.2819,4.0,4.0,0.0008,0.9081632653061225,25.2938,0.2867,0.0036,0.6836734693877551,0.67,"{""none"": 67, ""insertion_misalignment"": 24, ""dropped_during_reorientation"": 3, ""transfer_failure"": 4, ""acquisition_failure"": 2}",True
act_seed2,2.0,100,100,100,99,0.99,0.9455124752390653,0.9982326134344526,84,16,0,5.7482,6.6367,5.3543,11.4935,5.7578,6.6735,4.0,4.0,0.0007,0.82,23.2502,0.1411,0.004,0.55,0.55,"{""insertion_misalignment"": 28, ""none"": 55, ""timeout"": 2, ""insertion_jam"": 6, ""transfer_failure"": 8, ""dropped_during_reorientation"": 1}",True
act_seed3,1.0,100,100,100,100,1.0,0.9630051925239981,0.9999999999999999,53,47,0,2.8153,4.4373,3.0199,13.6255,2.9127,4.438,4.0,4.0,0.0009,0.7,22.7521,0.1454,0.0036,0.6,0.6,"{""none"": 60, ""insertion_misalignment"": 28, ""excessive_inhand_slip"": 1, ""transfer_failure"": 10, ""timeout"": 1}",True
act_seed3,1.5,100,100,100,100,1.0,0.9630051925239981,0.9999999999999999,69,31,0,4.5793,5.1928,3.5074,13.9331,4.6343,5.2057,5.0,4.0,0.0008,0.69,21.7233,0.1889,0.0036,0.42,0.42,"{""none"": 42, ""insertion_jam"": 14, ""transfer_failure"": 14, ""insertion_misalignment"": 28, ""timeout"": 1, ""excessive_inhand_slip"": 1}",True
act_seed3,2.0,100,100,100,100,1.0,0.9630051925239981,0.9999999999999999,35,65,0,5.1521,9.3084,4.9554,17.0444,5.3194,9.3084,4.0,4.0,0.0006,0.61,22.2666,0.8976,0.0037,0.15,0.15,"{""transfer_failure"": 48, ""insertion_misalignment"": 25, ""none"": 15, ""insertion_jam"": 12}",True
